start_time,end_time,move_times,moves,states_explored,outcome,game_duration
1743788772.6536627,1743788802.0140572,"[3.777020215988159, 3.862032413482666, 4.4523584842681885, 4.0643815994262695, 2.0082268714904785, 1.629446268081665, 1.2836549282073975, 1.3660681247711182, 1.295640468597412, 0.6383042335510254, 0.5009653568267822, 0.18992233276367188, 0.10928893089294434, 0.058629751205444336, 0.0505216121673584, 0.004962444305419922, 0.0016431808471679688, 0.00016260147094726562]",18,123860,win,29.36039447784424
1743788802.0141938,1743788832.8953447,"[4.527473211288452, 4.071149110794067, 4.631329298019409, 4.131430149078369, 2.0577709674835205, 1.5908010005950928, 1.1826283931732178, 1.2987284660339355, 1.381554365158081, 0.6383810043334961, 0.5882484912872314, 0.1626274585723877, 0.11368751525878906, 0.046448469161987305, 0.03752303123474121, 0.004979372024536133, 0.0016722679138183594, 0.00017023086547851562]",18,123860,win,30.88115096092224
1743788832.8954654,1743788862.7345939,"[4.161035060882568, 4.128298044204712, 3.6954333782196045, 4.647255897521973, 1.9199349880218506, 1.631803035736084, 1.1702156066894531, 1.2911796569824219, 1.3484561443328857, 0.6434504985809326, 0.547105073928833, 0.17072367668151855, 0.1118314266204834, 0.05053210258483887, 0.06134510040283203, 0.010590076446533203, 0.002197742462158203, 0.00018453598022460938]",18,123860,win,29.839128494262695
1743788862.7347188,1743788893.117268,"[4.04770565032959, 4.174594879150391, 3.673424243927002, 4.187548875808716, 2.5232138633728027, 1.6645450592041016, 1.210859775543213, 1.4017703533172607, 1.3190028667449951, 0.7009890079498291, 0.6145827770233154, 0.1773521900177002, 0.10879182815551758, 0.05130410194396973, 0.0379033088684082, 0.005138874053955078, 0.0016684532165527344, 0.00016379356384277344]",18,123860,win,30.382549285888672
1743788893.117384,1743788921.01926,"[3.975270986557007, 3.9235963821411133, 3.5336029529571533, 3.767287015914917, 1.7096643447875977, 1.4953579902648926, 1.7188725471496582, 1.1814937591552734, 1.209568738937378, 0.5740318298339844, 0.48152637481689453, 0.1852126121520996, 0.10781192779541016, 0.047438621520996094, 0.037581443786621094, 0.005019664764404297, 0.0016601085662841797, 0.0001647472381591797]",18,123860,win,27.901875972747803
1743788921.0194442,1743788949.069453,"[3.77150559425354, 3.817335844039917, 3.568272590637207, 3.736217498779297, 1.8840618133544922, 1.5280461311340332, 1.1291821002960205, 1.3086225986480713, 1.2115147113800049, 0.612807035446167, 0.5005979537963867, 0.8427455425262451, 0.10869145393371582, 0.047393798828125, 0.03800535202026367, 0.004984855651855469, 0.0017123222351074219, 0.0001621246337890625]",18,123860,win,28.05000877380371
1743788949.0696235,1743788976.4275331,"[3.786428213119507, 3.8216400146484375, 3.5846316814422607, 3.7220370769500732, 1.9189660549163818, 1.5240559577941895, 1.1177995204925537, 1.2421131134033203, 1.2146241664886475, 0.610710859298706, 0.5109949111938477, 0.15906810760498047, 0.1098933219909668, 0.049273014068603516, 0.03960537910461426, 0.0050640106201171875, 0.0016617774963378906, 0.0001811981201171875]",18,123860,win,27.357909679412842
1743788976.427676,1743789004.4887638,"[3.8435285091400146, 3.887122631072998, 3.6490139961242676, 3.6644861698150635, 1.7735023498535156, 1.5153605937957764, 1.1053574085235596, 1.259145975112915, 1.2326557636260986, 0.6221539974212646, 0.500922441482544, 0.17003130912780762, 0.10895824432373047, 0.04641842842102051, 0.037993669509887695, 0.0051805973052978516, 0.0016918182373046875, 0.00016427040100097656]",18,123860,win,28.06108784675598
1743789004.4889312,1743789032.290922,"[3.811392068862915, 3.906850814819336, 4.197641611099243, 3.7479939460754395, 1.7035527229309082, 1.5394225120544434, 1.0988144874572754, 1.212679386138916, 1.2162034511566162, 0.6013522148132324, 0.5082042217254639, 0.15822100639343262, 0.10944604873657227, 0.047103166580200195, 0.037728071212768555, 0.004969596862792969, 0.001689910888671875, 0.0001621246337890625]",18,123860,win,27.801990747451782
1743789032.291045,1743789060.5084062,"[3.8128836154937744, 3.809323787689209, 3.5319721698760986, 4.546220541000366, 1.7893965244293213, 1.5145108699798584, 1.1310880184173584, 1.2259905338287354, 1.305304765701294, 0.5991523265838623, 0.5247802734375, 0.16948509216308594, 0.13099241256713867, 0.04560661315917969, 0.037705183029174805, 0.005587577819824219, 0.0017442703247070312, 0.00018739700317382812]",18,123860,win,28.217361211776733
