start_time,end_time,move_times,moves,states_explored,outcome,game_duration
1743788772.6536615,1743788802.0140545,"[0.38773536682128906, 3.777020215988159, 0.5673904418945312, 3.862032413482666, 0.6775085926055908, 4.4523584842681885, 0.5245866775512695, 4.0643815994262695, 0.625774621963501, 2.0082268714904785, 0.17968225479125977, 1.629446268081665, 0.24990034103393555, 1.2836549282073975, 0.10919594764709473, 1.3660681247711182, 0.2710421085357666, 1.295640468597412, 0.243025541305542, 0.6383042335510254, 0.11075353622436523, 0.5009653568267822, 0.05592083930969238, 0.18992233276367188, 0.03262925148010254, 0.10928893089294434, 0.018483638763427734, 0.058629751205444336, 0.005210399627685547, 0.0505216121673584, 0.006438016891479492, 0.004962444305419922, 0.00022864341735839844, 0.0016431808471679688, 0.00012302398681640625, 0.00016260147094726562]",36,0,win_agent2,29.360393047332764
1743788802.0141923,1743788832.8953424,"[0.4756655693054199, 4.527473211288452, 0.6588246822357178, 4.071149110794067, 0.7221555709838867, 4.631329298019409, 0.5917274951934814, 4.131430149078369, 0.6613397598266602, 2.0577709674835205, 0.1727619171142578, 1.5908010005950928, 0.23572230339050293, 1.1826283931732178, 0.11382079124450684, 1.2987284660339355, 0.3053104877471924, 1.381554365158081, 0.23130583763122559, 0.6383810043334961, 0.11665463447570801, 0.5882484912872314, 0.06719136238098145, 0.1626274585723877, 0.03323078155517578, 0.11368751525878906, 0.017223834991455078, 0.046448469161987305, 0.005089759826660156, 0.03752303123474121, 0.004617929458618164, 0.004979372024536133, 0.00023365020751953125, 0.0016722679138183594, 0.00010991096496582031, 0.00017023086547851562]",36,0,win_agent2,30.881150007247925
1743788832.8954644,1743788862.734588,"[0.43003129959106445, 4.161035060882568, 0.5825080871582031, 4.128298044204712, 0.7214884757995605, 3.6954333782196045, 0.598369836807251, 4.647255897521973, 0.6115775108337402, 1.9199349880218506, 0.17451810836791992, 1.631803035736084, 0.22330188751220703, 1.1702156066894531, 0.1331648826599121, 1.2911796569824219, 0.30161118507385254, 1.3484561443328857, 0.22133874893188477, 0.6434504985809326, 0.1191859245300293, 0.547105073928833, 0.05607247352600098, 0.17072367668151855, 0.03320741653442383, 0.1118314266204834, 0.01736307144165039, 0.05053210258483887, 0.008462905883789062, 0.06134510040283203, 0.013199090957641602, 0.010590076446533203, 0.00031304359436035156, 0.002197742462158203, 0.00012922286987304688, 0.00018453598022460938]",36,0,win_agent2,29.839123487472534
1743788862.7347174,1743788893.1172662,"[0.425020694732666, 4.04770565032959, 0.6324844360351562, 4.174594879150391, 0.7493021488189697, 3.673424243927002, 0.6632201671600342, 4.187548875808716, 0.6168994903564453, 2.5232138633728027, 0.23940324783325195, 1.6645450592041016, 0.24146008491516113, 1.210859775543213, 0.1425645351409912, 1.4017703533172607, 0.27091026306152344, 1.3190028667449951, 0.24615907669067383, 0.7009890079498291, 0.1371755599975586, 0.6145827770233154, 0.05659914016723633, 0.1773521900177002, 0.03214240074157715, 0.10879182815551758, 0.01727890968322754, 0.05130410194396973, 0.0048716068267822266, 0.0379033088684082, 0.004617214202880859, 0.005138874053955078, 0.00023365020751953125, 0.0016684532165527344, 0.00011229515075683594, 0.00016379356384277344]",36,0,win_agent2,30.382548809051514
1743788893.117383,1743788921.0192573,"[0.4012436866760254, 3.975270986557007, 0.6009500026702881, 3.9235963821411133, 0.6345133781433105, 3.5336029529571533, 0.5214323997497559, 3.767287015914917, 0.5874614715576172, 1.7096643447875977, 0.17010259628295898, 1.4953579902648926, 0.23064613342285156, 1.7188725471496582, 0.10828185081481934, 1.1814937591552734, 0.24807953834533691, 1.209568738937378, 0.21531462669372559, 0.5740318298339844, 0.11087679862976074, 0.48152637481689453, 0.0574803352355957, 0.1852126121520996, 0.03211832046508789, 0.10781192779541016, 0.016809940338134766, 0.047438621520996094, 0.004870176315307617, 0.037581443786621094, 0.004738330841064453, 0.005019664764404297, 0.00021600723266601562, 0.0016601085662841797, 0.000110626220703125, 0.0001647472381591797]",36,0,win_agent2,27.90187430381775
1743788921.019443,1743788949.0694501,"[0.3805563449859619, 3.77150559425354, 0.5918121337890625, 3.817335844039917, 0.6479692459106445, 3.568272590637207, 0.5479021072387695, 3.736217498779297, 0.5791242122650146, 1.8840618133544922, 0.16651487350463867, 1.5280461311340332, 0.2247762680053711, 1.1291821002960205, 0.10362410545349121, 1.3086225986480713, 0.24578571319580078, 1.2115147113800049, 0.21295475959777832, 0.612807035446167, 0.1181938648223877, 0.5005979537963867, 0.057099103927612305, 0.8427455425262451, 0.03357243537902832, 0.10869145393371582, 0.01686835289001465, 0.047393798828125, 0.0049512386322021484, 0.03800535202026367, 0.004668712615966797, 0.004984855651855469, 0.0002181529998779297, 0.0017123222351074219, 0.00011086463928222656, 0.0001621246337890625]",36,0,win_agent2,28.050007104873657
1743788949.0696225,1743788976.4275305,"[0.4014134407043457, 3.786428213119507, 0.597740650177002, 3.8216400146484375, 0.6335124969482422, 3.5846316814422607, 0.5116486549377441, 3.7220370769500732, 0.5848050117492676, 1.9189660549163818, 0.17602920532226562, 1.5240559577941895, 0.2358696460723877, 1.1177995204925537, 0.10750055313110352, 1.2421131134033203, 0.2492671012878418, 1.2146241664886475, 0.21047639846801758, 0.610710859298706, 0.10904550552368164, 0.5109949111938477, 0.055271148681640625, 0.15906810760498047, 0.03616189956665039, 0.1098933219909668, 0.016877412796020508, 0.049273014068603516, 0.0070226192474365234, 0.03960537910461426, 0.004676103591918945, 0.0050640106201171875, 0.0002319812774658203, 0.0016617774963378906, 0.00012350082397460938, 0.0001811981201171875]",36,0,win_agent2,27.357908010482788
1743788976.4276748,1743789004.4887617,"[0.4309542179107666, 3.8435285091400146, 1.2249438762664795, 3.887122631072998, 0.6321077346801758, 3.6490139961242676, 0.5201015472412109, 3.6644861698150635, 0.6324543952941895, 1.7735023498535156, 0.17169928550720215, 1.5153605937957764, 0.22268080711364746, 1.1053574085235596, 0.10540390014648438, 1.259145975112915, 0.24689102172851562, 1.2326557636260986, 0.21379566192626953, 0.6221539974212646, 0.1116034984588623, 0.500922441482544, 0.056780099868774414, 0.17003130912780762, 0.038674354553222656, 0.10895824432373047, 0.0169980525970459, 0.04641842842102051, 0.004942417144775391, 0.037993669509887695, 0.005463600158691406, 0.0051805973052978516, 0.00021791458129882812, 0.0016918182373046875, 0.00011086463928222656, 0.00016427040100097656]",36,0,win_agent2,28.061086893081665
1743789004.48893,1743789032.29092,"[0.38350725173950195, 3.811392068862915, 0.5628738403320312, 3.906850814819336, 0.6404023170471191, 4.197641611099243, 0.52156662940979, 3.7479939460754395, 0.582305908203125, 1.7035527229309082, 0.16710829734802246, 1.5394225120544434, 0.2252061367034912, 1.0988144874572754, 0.11097168922424316, 1.212679386138916, 0.2443528175354004, 1.2162034511566162, 0.20775651931762695, 0.6013522148132324, 0.13696813583374023, 0.5082042217254639, 0.05446434020996094, 0.15822100639343262, 0.03226661682128906, 0.10944604873657227, 0.01699542999267578, 0.047103166580200195, 0.0050144195556640625, 0.037728071212768555, 0.004995822906494141, 0.004969596862792969, 0.0002167224884033203, 0.001689910888671875, 0.00011134147644042969, 0.0001621246337890625]",36,0,win_agent2,27.801990032196045
1743789032.2910438,1743789060.5084043,"[0.4005885124206543, 3.8128836154937744, 0.5688164234161377, 3.809323787689209, 0.676605224609375, 3.5319721698760986, 0.5147190093994141, 4.546220541000366, 0.592979907989502, 1.7893965244293213, 0.19564175605773926, 1.5145108699798584, 0.226287841796875, 1.1310880184173584, 0.1046903133392334, 1.2259905338287354, 0.28812098503112793, 1.305304765701294, 0.21704459190368652, 0.5991523265838623, 0.11426258087158203, 0.5247802734375, 0.0684354305267334, 0.16948509216308594, 0.037047386169433594, 0.13099241256713867, 0.017772197723388672, 0.04560661315917969, 0.004858493804931641, 0.037705183029174805, 0.0055773258209228516, 0.005587577819824219, 0.00022339820861816406, 0.0017442703247070312, 0.00012254714965820312, 0.00018739700317382812]",36,0,win_agent2,28.217360496520996
