start_time,end_time,move_times,moves,states_explored,outcome,game_duration
1743781462.7080536,1743781466.4646032,"[0.002056121826171875, 0.0019478797912597656, 0.0024678707122802734, 0.0016148090362548828, 0.00160980224609375, 0.0017747879028320312, 0.00021314620971679688, 0.001819610595703125]",8,0,loss,3.756549596786499
1743781466.4647603,1743781470.158752,"[0.0019559860229492188, 0.0019364356994628906, 0.0019519329071044922, 0.0016312599182128906, 0.0017116069793701172, 0.0016088485717773438, 0.0001590251922607422, 0.001592874526977539]",8,0,loss,3.6939916610717773
1743781470.1589015,1743781473.9520848,"[0.0019822120666503906, 0.0019452571868896484, 0.0018939971923828125, 0.0017611980438232422, 0.001581430435180664, 0.0016026496887207031, 0.0001723766326904297, 0.0016100406646728516]",8,0,loss,3.7931833267211914
1743781473.9522254,1743781477.6862059,"[0.0019845962524414062, 0.0019297599792480469, 0.0019030570983886719, 0.0016064643859863281, 0.001611471176147461, 0.001596212387084961, 0.00015974044799804688, 0.0015723705291748047]",8,0,loss,3.733980417251587
1743781477.68639,1743781481.42409,"[0.001996755599975586, 0.0019330978393554688, 0.0018656253814697266, 0.001628875732421875, 0.0016560554504394531, 0.0017364025115966797, 0.00015354156494140625, 0.0015287399291992188]",8,0,loss,3.7376999855041504
1743781481.4242644,1743781485.106419,"[0.0019674301147460938, 0.0019507408142089844, 0.0018892288208007812, 0.001634359359741211, 0.001672983169555664, 0.00164794921875, 0.00015497207641601562, 0.0017414093017578125]",8,0,loss,3.682154655456543
1743781485.106603,1743781489.362645,"[0.001976490020751953, 0.0019502639770507812, 0.0019211769104003906, 0.0016353130340576172, 0.0016434192657470703, 0.0016694068908691406, 0.0001595020294189453, 0.0017554759979248047]",8,0,loss,4.256042003631592
1743781489.362828,1743781493.0037212,"[0.0019578933715820312, 0.002042531967163086, 0.0019161701202392578, 0.001600503921508789, 0.001613616943359375, 0.0016016960144042969, 0.00015783309936523438, 0.0016026496887207031]",8,0,loss,3.6408932209014893
1743781493.0038962,1743781496.8171754,"[0.001965045928955078, 0.0019032955169677734, 0.0018887519836425781, 0.0016055107116699219, 0.0016047954559326172, 0.0016052722930908203, 0.0001544952392578125, 0.0015323162078857422]",8,0,loss,3.813279151916504
1743781496.8173509,1743781500.5178123,"[0.001993894577026367, 0.0019066333770751953, 0.0018770694732666016, 0.0016357898712158203, 0.0016245841979980469, 0.0016260147094726562, 0.00016117095947265625, 0.0015554428100585938]",8,0,loss,3.7004613876342773
1743781500.517995,1743781504.2450175,"[0.001976490020751953, 0.001993894577026367, 0.0019021034240722656, 0.0016126632690429688, 0.0016393661499023438, 0.0015904903411865234, 0.00028967857360839844, 0.0016219615936279297]",8,0,loss,3.727022409439087
1743781504.2451844,1743781507.9309676,"[0.0020685195922851562, 0.0019130706787109375, 0.0018887519836425781, 0.001603841781616211, 0.0016715526580810547, 0.0023064613342285156, 0.0001552104949951172, 0.0015385150909423828]",8,0,loss,3.6857831478118896
1743781507.9311543,1743781511.6092534,"[0.0019373893737792969, 0.001962900161743164, 0.0018956661224365234, 0.0016052722930908203, 0.0016491413116455078, 0.0017199516296386719, 0.00017070770263671875, 0.001547098159790039]",8,0,loss,3.6780991554260254
1743781511.6094093,1743781515.495752,"[0.0019845962524414062, 0.0019350051879882812, 0.0019030570983886719, 0.0029680728912353516, 0.002244710922241211, 0.0016913414001464844, 0.00015616416931152344, 0.0015316009521484375]",8,0,loss,3.886342763900757
1743781515.4959047,1743781519.9175198,"[0.0019919872283935547, 0.001960277557373047, 0.0020020008087158203, 0.0024530887603759766, 0.001604318618774414, 0.0015745162963867188, 0.00015807151794433594, 0.0016489028930664062]",8,0,loss,4.421615123748779
1743781519.9176817,1743781523.886709,"[0.0021660327911376953, 0.0019176006317138672, 0.002022266387939453, 0.0016942024230957031, 0.002509593963623047, 0.0018353462219238281, 0.00016188621520996094, 0.0016138553619384766]",8,0,loss,3.969027280807495
1743781523.8868911,1743781528.0025668,"[0.0021965503692626953, 0.0029408931732177734, 0.0041425228118896484, 0.0016868114471435547, 0.0019021034240722656, 0.0016529560089111328, 0.0001685619354248047, 0.0015904903411865234]",8,0,loss,4.115675687789917
1743781528.0027368,1743781532.09148,"[0.002045869827270508, 0.002229452133178711, 0.002430438995361328, 0.0016748905181884766, 0.0016756057739257812, 0.001741647720336914, 0.00017499923706054688, 0.0015854835510253906]",8,0,loss,4.088743209838867
1743781532.0916731,1743781535.7651317,"[0.0021178722381591797, 0.0019359588623046875, 0.0019130706787109375, 0.0016093254089355469, 0.0017080307006835938, 0.001581430435180664, 0.00016164779663085938, 0.0015645027160644531]",8,0,loss,3.6734585762023926
1743781535.7653055,1743781539.41295,"[0.0019559860229492188, 0.001941680908203125, 0.0018820762634277344, 0.0016064643859863281, 0.002006053924560547, 0.0015957355499267578, 0.0001583099365234375, 0.0017497539520263672]",8,0,loss,3.647644519805908
1743781539.413096,1743781543.263107,"[0.0019788742065429688, 0.001986265182495117, 0.0019023418426513672, 0.0016489028930664062, 0.001996755599975586, 0.0015807151794433594, 0.0001537799835205078, 0.0024976730346679688]",8,0,loss,3.850011110305786
1743781543.2632782,1743781547.3038018,"[0.0021326541900634766, 0.0023956298828125, 0.001909494400024414, 0.0024895668029785156, 0.001621246337890625, 0.0017330646514892578, 0.00016069412231445312, 0.0023102760314941406]",8,0,loss,4.040523529052734
1743781547.3039558,1743781551.8712285,"[0.002198934555053711, 0.002214670181274414, 0.004004240036010742, 0.0016341209411621094, 0.0016598701477050781, 0.0015943050384521484, 0.00015854835510253906, 0.0017275810241699219]",8,0,loss,4.567272663116455
1743781551.8713796,1743781555.9764924,"[0.0019483566284179688, 0.0018973350524902344, 0.003279447555541992, 0.0015995502471923828, 0.0016279220581054688, 0.0015583038330078125, 0.000186920166015625, 0.0016674995422363281]",8,0,loss,4.105112791061401
1743781555.9766765,1743781559.9785802,"[0.0019655227661132812, 0.002619504928588867, 0.0019910335540771484, 0.0017235279083251953, 0.0017414093017578125, 0.0016160011291503906, 0.00016021728515625, 0.001953601837158203]",8,0,loss,4.001903772354126
