start_time,end_time,move_times,moves,states_explored,outcome,game_duration
1743811718.9359174,1743811721.1897461,"[3.933906555175781e-05, 2.47955322265625e-05]",2,0,loss,2.253828763961792
1743811721.1899197,1743811723.3737128,"[4.363059997558594e-05, 2.6702880859375e-05]",2,0,loss,2.183793067932129
1743811723.3738737,1743811725.5794773,"[3.314018249511719e-05, 2.7894973754882812e-05]",2,0,loss,2.20560359954834
1743811725.5796103,1743811727.7564368,"[2.956390380859375e-05, 2.384185791015625e-05]",2,0,loss,2.1768264770507812
1743811727.7565722,1743811730.114832,"[3.0040740966796875e-05, 2.6226043701171875e-05]",2,0,loss,2.358259677886963
1743811730.1149745,1743811732.4683185,"[3.075599670410156e-05, 2.5987625122070312e-05]",2,0,loss,2.353343963623047
1743811732.4684753,1743811734.8274286,"[3.170967102050781e-05, 6.079673767089844e-05, 3.552436828613281e-05]",3,0,loss,2.3589532375335693
1743811734.8277552,1743811737.0784318,"[3.409385681152344e-05, 2.2172927856445312e-05]",2,0,loss,2.2506766319274902
1743811737.0786839,1743811740.876753,"[3.790855407714844e-05, 2.4318695068359375e-05]",2,0,loss,3.7980692386627197
1743811740.876917,1743811743.1351533,"[3.504753112792969e-05, 2.956390380859375e-05]",2,0,loss,2.2582364082336426
