start_time,end_time,move_times,moves,states_explored,outcome,game_duration
1743811718.935915,1743811721.1897435,"[2.2202954292297363, 3.933906555175781e-05, 0.032727718353271484, 2.47955322265625e-05, 0.0006070137023925781]",5,0,win_agent1,2.253828525543213
1743811721.1899183,1743811723.3737109,"[2.148273229598999, 4.363059997558594e-05, 0.03494763374328613, 2.6702880859375e-05, 0.00037360191345214844]",5,0,win_agent1,2.1837925910949707
1743811723.373872,1743811725.5794756,"[2.175596237182617, 3.314018249511719e-05, 0.02943587303161621, 2.7894973754882812e-05, 0.00039076805114746094]",5,0,win_agent1,2.20560359954834
1743811725.5796094,1743811727.7564352,"[2.1456379890441895, 2.956390380859375e-05, 0.030635595321655273, 2.384185791015625e-05, 0.0003905296325683594]",5,0,win_agent1,2.176825761795044
1743811727.756571,1743811730.1148303,"[2.334441900253296, 3.0040740966796875e-05, 0.023253440856933594, 2.6226043701171875e-05, 0.00038504600524902344]",5,0,win_agent1,2.3582592010498047
1743811730.114973,1743811732.4683166,"[2.319284200668335, 3.075599670410156e-05, 0.03349804878234863, 2.5987625122070312e-05, 0.0003809928894042969]",5,0,win_agent1,2.3533434867858887
1743811732.468474,1743811734.8274248,"[2.3046185970306396, 3.170967102050781e-05, 0.05088973045349121, 6.079673767089844e-05, 0.002993345260620117, 3.552436828613281e-05, 7.343292236328125e-05]",7,0,win_agent1,2.3589508533477783
1743811734.8277533,1743811737.07843,"[2.2195546627044678, 3.409385681152344e-05, 0.030498266220092773, 2.2172927856445312e-05, 0.0004341602325439453]",5,0,win_agent1,2.2506766319274902
1743811737.0786824,1743811740.8767512,"[3.7665886878967285, 3.790855407714844e-05, 0.03070235252380371, 2.4318695068359375e-05, 0.0005171298980712891]",5,0,win_agent1,3.7980687618255615
1743811740.8769157,1743811743.1351514,"[2.2344424724578857, 3.504753112792969e-05, 0.022894620895385742, 2.956390380859375e-05, 0.0007154941558837891]",5,0,win_agent1,2.2582356929779053
