start_time,end_time,move_times,moves,states_explored,outcome,game_duration
1743788608.9695065,1743788609.0385597,"[0.04529166221618652, 0.003845691680908203, 0.00048065185546875, 5.793571472167969e-05, 9.059906005859375e-06]",5,3377,draw,0.06905317306518555
1743788609.0385754,1743788609.0970473,"[0.040876150131225586, 0.0038366317749023438, 0.0004897117614746094, 5.8650970458984375e-05, 9.298324584960938e-06]",5,3377,draw,0.0584719181060791
1743788609.0971797,1743788609.159261,"[0.04454684257507324, 0.0038704872131347656, 0.00047469139099121094, 7.2479248046875e-05, 9.5367431640625e-06]",5,3377,draw,0.062081336975097656
1743788609.1592817,1743788609.2212758,"[0.041501760482788086, 0.005384206771850586, 0.0004801750183105469, 7.867813110351562e-05, 9.5367431640625e-06]",5,3377,draw,0.061994075775146484
1743788609.2215004,1743788609.2891622,"[0.04787445068359375, 0.0051479339599609375, 0.0005311965942382812, 6.127357482910156e-05, 9.298324584960938e-06]",5,3377,draw,0.06766176223754883
1743788609.2891777,1743788609.3477123,"[0.0410308837890625, 0.0038428306579589844, 0.00048828125, 5.8650970458984375e-05, 8.821487426757812e-06]",5,3377,draw,0.05853462219238281
1743788609.3478284,1743788609.4132411,"[0.04616856575012207, 0.003910064697265625, 0.001058816909790039, 6.008148193359375e-05, 8.821487426757812e-06]",5,3377,draw,0.06541275978088379
1743788609.413259,1743788609.4717157,"[0.04082632064819336, 0.0039010047912597656, 0.0006520748138427734, 6.127357482910156e-05, 8.344650268554688e-06]",5,3377,draw,0.0584566593170166
1743788609.4719024,1743788609.5340834,"[0.04383206367492676, 0.0038750171661376953, 0.0004706382751464844, 5.888938903808594e-05, 8.344650268554688e-06]",5,3377,draw,0.06218099594116211
1743788609.5340974,1743788609.5925202,"[0.04089236259460449, 0.003835439682006836, 0.0004744529724121094, 5.91278076171875e-05, 8.58306884765625e-06]",5,3377,draw,0.05842280387878418
1743788609.5926352,1743788609.6544595,"[0.0442349910736084, 0.004117012023925781, 0.0004763603210449219, 5.888938903808594e-05, 8.821487426757812e-06]",5,3377,draw,0.06182432174682617
1743788609.6544724,1743788609.7166755,"[0.04135417938232422, 0.0038919448852539062, 0.0005080699920654297, 6.079673767089844e-05, 9.059906005859375e-06]",5,3377,draw,0.062203168869018555
1743788609.7167988,1743788609.778126,"[0.0430293083190918, 0.003973245620727539, 0.0005192756652832031, 6.175041198730469e-05, 8.821487426757812e-06]",5,3377,draw,0.061327219009399414
1743788609.778142,1743788609.8713892,"[0.07569718360900879, 0.004046201705932617, 0.0004730224609375, 5.7697296142578125e-05, 8.821487426757812e-06]",5,3377,draw,0.0932471752166748
1743788609.8715148,1743788609.9316351,"[0.04232501983642578, 0.004021883010864258, 0.0005004405975341797, 5.888938903808594e-05, 9.059906005859375e-06]",5,3377,draw,0.060120344161987305
1743788609.9316497,1743788609.9902868,"[0.04108262062072754, 0.003871917724609375, 0.00047135353088378906, 5.817413330078125e-05, 7.867813110351562e-06]",5,3377,draw,0.058637142181396484
1743788609.9904191,1743788610.0507467,"[0.04258608818054199, 0.003960609436035156, 0.0005142688751220703, 7.319450378417969e-05, 8.58306884765625e-06]",5,3377,draw,0.06032752990722656
1743788610.050761,1743788610.108798,"[0.04059243202209473, 0.00386810302734375, 0.0004718303680419922, 5.793571472167969e-05, 8.344650268554688e-06]",5,3377,draw,0.05803704261779785
1743788610.1089184,1743788610.1720462,"[0.04440140724182129, 0.005151510238647461, 0.0005021095275878906, 5.841255187988281e-05, 8.821487426757812e-06]",5,3377,draw,0.06312775611877441
