start_time,end_time,move_times,moves,states_explored,outcome,game_duration
1743816157.655068,1743816157.7203827,"[0.05728507041931152, 6.985664367675781e-05, 0.0071523189544677734, 2.6464462280273438e-05, 0.0002541542053222656, 1.430511474609375e-05, 4.0531158447265625e-05]",7,0,win_agent1,0.06531476974487305
1743816157.7204354,1743816157.7707055,"[0.04638814926147461, 3.62396240234375e-05, 0.0031261444091796875, 3.62396240234375e-05, 0.0002593994140625, 1.6927719116210938e-05, 3.170967102050781e-05]",7,0,win_agent1,0.05027008056640625
1743816157.770872,1743816157.8248863,"[0.05100131034851074, 3.7670135498046875e-05, 0.0022835731506347656, 3.0994415283203125e-05, 0.00024199485778808594, 1.4543533325195312e-05, 4.6253204345703125e-05]",7,0,win_agent1,0.05401420593261719
1743816157.82491,1743816157.8976297,"[0.06553244590759277, 0.000118255615234375, 0.005690097808837891, 3.743171691894531e-05, 0.0006186962127685547, 2.3603439331054688e-05, 0.00010776519775390625]",7,0,win_agent1,0.07271981239318848
1743816157.8977807,1743816157.9712067,"[0.06917214393615723, 5.0067901611328125e-05, 0.0030226707458496094, 4.100799560546875e-05, 0.0005981922149658203, 2.0265579223632812e-05, 0.00010132789611816406]",7,0,win_agent1,0.0734260082244873
1743816157.9712243,1743816158.04789,"[0.07186102867126465, 5.793571472167969e-05, 0.003255605697631836, 4.7206878662109375e-05, 0.000812530517578125, 2.5987625122070312e-05, 6.151199340820312e-05]",7,0,win_agent1,0.07666563987731934
1743816158.0480652,1743816158.1260903,"[0.07269930839538574, 7.700920104980469e-05, 0.0037527084350585938, 3.337860107421875e-05, 0.0004763603210449219, 2.5987625122070312e-05, 9.703636169433594e-05, 2.0503997802734375e-05, 1.3828277587890625e-05]",9,0,win_agent1,0.07802510261535645
1743816158.126112,1743816158.200713,"[0.0688786506652832, 7.033348083496094e-05, 0.0044519901275634766, 3.743171691894531e-05, 0.00034332275390625, 2.0742416381835938e-05, 5.650520324707031e-05]",7,0,win_agent1,0.0746009349822998
1743816158.2009087,1743816158.2745512,"[0.06803011894226074, 3.62396240234375e-05, 0.004420757293701172, 3.409385681152344e-05, 0.0005660057067871094, 2.3126602172851562e-05, 7.152557373046875e-05]",7,0,win_agent1,0.07364249229431152
1743816158.2745879,1743816158.3582795,"[0.06795668601989746, 3.9577484130859375e-05, 0.014410018920898438, 3.62396240234375e-05, 0.0003204345703125, 8.416175842285156e-05, 4.076957702636719e-05]",7,0,win_agent1,0.08369159698486328
