start_time,end_time,move_times,moves,states_explored,outcome,game_duration
1743781084.756952,1743781084.7774527,"[6.29425048828125e-05, 3.147125244140625e-05, 2.3603439331054688e-05, 9.775161743164062e-06]",4,0,loss,0.020500659942626953
1743781084.7774699,1743781084.8012757,"[2.0503997802734375e-05, 2.765655517578125e-05, 1.430511474609375e-05, 9.5367431640625e-06]",4,0,loss,0.023805856704711914
1743781084.8012955,1743781084.8173738,"[2.09808349609375e-05, 2.2649765014648438e-05, 1.52587890625e-05, 1.049041748046875e-05]",4,0,loss,0.01607823371887207
1743781084.8173852,1743781084.8425891,"[3.24249267578125e-05, 2.0742416381835938e-05, 1.430511474609375e-05]",3,0,loss,0.025203943252563477
1743781084.8426025,1743781084.856637,"[2.0265579223632812e-05, 2.1457672119140625e-05, 1.4066696166992188e-05]",3,0,loss,0.014034509658813477
1743781084.8566442,1743781084.8760738,"[2.0742416381835938e-05, 2.4557113647460938e-05, 1.6450881958007812e-05, 1.0251998901367188e-05]",4,0,loss,0.019429683685302734
1743781084.8762357,1743781084.8912144,"[2.5033950805664062e-05, 3.838539123535156e-05, 2.288818359375e-05]",3,0,loss,0.014978647232055664
1743781084.8912315,1743781084.9071102,"[2.2172927856445312e-05, 2.1696090698242188e-05, 1.5020370483398438e-05]",3,0,loss,0.015878677368164062
1743781084.9071193,1743781084.9214985,"[2.7894973754882812e-05, 1.8835067749023438e-05, 1.2874603271484375e-05]",3,0,loss,0.014379262924194336
1743781084.9215071,1743781084.9392223,"[2.0503997802734375e-05, 2.4318695068359375e-05, 2.0265579223632812e-05]",3,0,loss,0.0177152156829834
1743781084.9392629,1743781084.9521587,"[3.170967102050781e-05, 1.8835067749023438e-05, 1.33514404296875e-05, 9.298324584960938e-06]",4,0,loss,0.012895822525024414
1743781084.952171,1743781084.9753034,"[2.002716064453125e-05, 2.0503997802734375e-05, 1.6450881958007812e-05, 9.298324584960938e-06]",4,0,loss,0.02313232421875
1743781084.9753103,1743781084.9884393,"[2.002716064453125e-05, 2.5510787963867188e-05, 1.4781951904296875e-05, 1.0728836059570312e-05]",4,0,loss,0.013128995895385742
1743781084.9885821,1743781085.0125053,"[2.384185791015625e-05, 3.0517578125e-05, 1.4781951904296875e-05, 9.298324584960938e-06]",4,0,loss,0.023923158645629883
1743781085.01252,1743781085.0276127,"[2.0503997802734375e-05, 2.9325485229492188e-05, 5.8650970458984375e-05]",3,0,loss,0.015092611312866211
1743781085.0276332,1743781085.0465915,"[2.3126602172851562e-05, 3.2901763916015625e-05, 1.52587890625e-05, 9.5367431640625e-06, 5.0067901611328125e-06]",5,0,draw,0.018958330154418945
1743781085.0466058,1743781085.0644789,"[6.198883056640625e-05, 2.765655517578125e-05, 1.811981201171875e-05, 9.775161743164062e-06]",4,0,loss,0.017873048782348633
1743781085.064494,1743781085.0823512,"[2.5987625122070312e-05, 3.170967102050781e-05, 1.811981201171875e-05, 9.775161743164062e-06]",4,0,loss,0.01785731315612793
1743781085.0823634,1743781085.0984864,"[2.0742416381835938e-05, 2.4318695068359375e-05, 1.52587890625e-05, 1.0013580322265625e-05, 5.245208740234375e-06]",5,0,draw,0.016123056411743164
1743781085.0986283,1743781085.1220295,"[2.4557113647460938e-05, 3.0279159545898438e-05, 1.8835067749023438e-05, 9.775161743164062e-06]",4,0,loss,0.023401260375976562
1743781085.1220624,1743781085.1386561,"[2.3365020751953125e-05, 2.6464462280273438e-05, 1.621246337890625e-05, 1.0251998901367188e-05]",4,0,loss,0.01659369468688965
1743781085.1386688,1743781085.156867,"[2.2649765014648438e-05, 2.3126602172851562e-05, 1.8596649169921875e-05]",3,0,loss,0.018198251724243164
1743781085.156877,1743781085.1756742,"[2.1457672119140625e-05, 2.4557113647460938e-05, 1.4781951904296875e-05]",3,0,loss,0.01879715919494629
1743781085.175687,1743781085.1909857,"[2.193450927734375e-05, 2.9802322387695312e-05, 1.7642974853515625e-05, 1.0728836059570312e-05]",4,0,loss,0.015298604965209961
1743781085.1910033,1743781085.2178292,"[2.1457672119140625e-05, 3.933906555175781e-05, 2.4557113647460938e-05, 1.049041748046875e-05, 5.245208740234375e-06]",5,0,draw,0.026825904846191406
1743781085.217981,1743781085.2365744,"[2.5272369384765625e-05, 3.147125244140625e-05, 1.5974044799804688e-05]",3,0,loss,0.018593311309814453
