start_time,end_time,move_times,moves,states_explored,outcome,game_duration
1743781084.7569506,1743781084.7774506,"[6.29425048828125e-05, 0.017172813415527344, 3.147125244140625e-05, 0.0012078285217285156, 2.3603439331054688e-05, 0.00015735626220703125, 9.775161743164062e-06, 1.7881393432617188e-05]",8,0,win_agent2,0.02049994468688965
1743781084.7774692,1743781084.8012743,"[2.0503997802734375e-05, 0.021648406982421875, 2.765655517578125e-05, 0.0018901824951171875, 1.430511474609375e-05, 7.748603820800781e-05, 9.5367431640625e-06, 1.1205673217773438e-05]",8,0,win_agent2,0.02380514144897461
1743781084.801295,1743781084.8173723,"[2.09808349609375e-05, 0.014837503433227539, 2.2649765014648438e-05, 0.0009024143218994141, 1.52587890625e-05, 0.0001456737518310547, 1.049041748046875e-05, 1.8835067749023438e-05]",8,0,win_agent2,0.016077280044555664
1743781084.8173847,1743781084.8425882,"[3.24249267578125e-05, 0.023245811462402344, 2.0742416381835938e-05, 0.0017044544219970703, 1.430511474609375e-05, 0.00011777877807617188]",6,0,win_agent2,0.025203466415405273
1743781084.842602,1743781084.8566358,"[2.0265579223632812e-05, 0.012101411819458008, 2.1457672119140625e-05, 0.0016756057739257812, 1.4066696166992188e-05, 0.0001342296600341797]",6,0,win_agent2,0.014033794403076172
1743781084.8566437,1743781084.8760726,"[2.0742416381835938e-05, 0.016396284103393555, 2.4557113647460938e-05, 0.0026161670684814453, 1.6450881958007812e-05, 0.00021266937255859375, 1.0251998901367188e-05, 2.0503997802734375e-05]",8,0,win_agent2,0.01942896842956543
1743781084.876235,1743781084.891213,"[2.5033950805664062e-05, 0.013307809829711914, 3.838539123535156e-05, 0.001096487045288086, 2.288818359375e-05, 0.0001361370086669922]",6,0,win_agent2,0.01497793197631836
1743781084.891231,1743781084.9071088,"[2.2172927856445312e-05, 0.013834476470947266, 2.1696090698242188e-05, 0.001720428466796875, 1.5020370483398438e-05, 0.00019097328186035156]",6,0,win_agent2,0.015877723693847656
1743781084.907119,1743781084.9214976,"[2.7894973754882812e-05, 0.013798236846923828, 1.8835067749023438e-05, 0.00037860870361328125, 1.2874603271484375e-05, 7.43865966796875e-05]",6,0,win_agent2,0.014378547668457031
1743781084.921507,1743781084.9392123,"[2.0503997802734375e-05, 0.014440774917602539, 2.4318695068359375e-05, 0.0028319358825683594, 2.0265579223632812e-05, 0.00016927719116210938]",6,0,win_agent2,0.017705440521240234
