start_time,end_time,move_times,moves,states_explored,outcome,game_duration
1743772173.919271,1743772205.5225585,"[0.00017452239990234375, 3.919839859008789, 0.00010752677917480469, 3.875429630279541, 0.0001289844512939453, 3.844295024871826, 8.893013000488281e-05, 3.8808746337890625, 0.0002875328063964844, 3.8299546241760254, 0.0001251697540283203, 2.206662893295288, 6.341934204101562e-05, 3.2439708709716797, 0.0001239776611328125, 1.449146032333374, 0.00011086463928222656, 1.187431812286377, 0.00011134147644042969, 1.4674131870269775, 0.00010585784912109375, 1.0430378913879395, 7.43865966796875e-05, 0.4618186950683594, 7.009506225585938e-05, 0.49406957626342773, 5.0067901611328125e-05, 0.47042131423950195, 5.3882598876953125e-05, 0.22469472885131836]",30,163812,win,31.6032874584198
1743772205.522701,1743772232.2787464,"[0.000118255615234375, 4.112740755081177, 0.00010585784912109375, 3.9108920097351074, 0.0001533031463623047, 3.7684390544891357, 0.00020265579223632812, 4.489918231964111, 0.00027823448181152344, 3.5968713760375977, 9.274482727050781e-05, 1.7733221054077148, 0.00010013580322265625, 1.6087543964385986, 9.512901306152344e-05, 1.5973825454711914, 0.00010347366333007812, 1.3050849437713623, 6.842613220214844e-05, 0.5897011756896973]",20,129997,win,26.7560453414917
1743772232.27903,1743772254.9976537,"[0.0002186298370361328, 4.527966260910034, 0.00017571449279785156, 4.408279180526733, 0.00012445449829101562, 3.9198882579803467, 0.00012636184692382812, 3.4892160892486572, 9.560585021972656e-05, 1.5179216861724854, 9.632110595703125e-05, 2.0097103118896484, 0.00044798851013183594, 1.8154969215393066, 7.271766662597656e-05, 1.0275838375091553]",16,104276,win,22.718623638153076
1743772254.9977803,1743772285.126447,"[0.00011348724365234375, 4.510719537734985, 0.00016236305236816406, 4.189712047576904, 0.00026726722717285156, 4.622257471084595, 8.726119995117188e-05, 4.66382098197937, 0.0001201629638671875, 4.211156368255615, 0.0001308917999267578, 3.3730790615081787, 9.1552734375e-05, 1.8522305488586426, 0.00011110305786132812, 1.3638744354248047, 9.822845458984375e-05, 1.0381784439086914, 7.224082946777344e-05, 0.30087780952453613]",20,136226,win,30.128666639328003
1743772285.126602,1743772310.706147,"[0.00010919570922851562, 4.179343938827515, 0.00011920928955078125, 4.12149715423584, 0.0002789497375488281, 3.971554756164551, 8.249282836914062e-05, 3.986344814300537, 0.00010585784912109375, 3.500725030899048, 0.0001342296600341797, 1.7913572788238525, 9.942054748535156e-05, 1.2487120628356934, 9.72747802734375e-05, 0.656400203704834, 0.00012874603271484375, 0.564460277557373, 0.00013780593872070312, 0.5332789421081543, 8.392333984375e-05, 0.4339869022369385, 5.245208740234375e-05, 0.4021937847137451, 7.104873657226562e-05, 0.18613982200622559]",26,128035,win,25.57954502105713
1743772310.706283,1743772336.945906,"[0.0001049041748046875, 4.124480485916138, 0.0001506805419921875, 4.328236103057861, 0.00010991096496582031, 4.171489238739014, 0.00014972686767578125, 3.613882541656494, 9.512901306152344e-05, 1.978119134902954, 9.799003601074219e-05, 1.6179449558258057, 5.626678466796875e-05, 1.5674748420715332, 0.00010251998901367188, 1.513733148574829, 0.00010657310485839844, 1.6363928318023682, 0.00010251998901367188, 0.8118982315063477, 7.677078247070312e-05, 0.8732399940490723]",22,128526,win,26.239622831344604
1743772336.946048,1743772365.7090693,"[0.0001251697540283203, 4.079029560089111, 0.00011777877807617188, 3.8851420879364014, 0.00010967254638671875, 4.033944845199585, 0.00014781951904296875, 3.8596880435943604, 0.00010848045349121094, 3.466991424560547, 9.632110595703125e-05, 2.071190595626831, 0.00021910667419433594, 1.9460511207580566, 0.0001239776611328125, 1.631396770477295, 0.0003895759582519531, 1.4560201168060303, 6.961822509765625e-05, 1.5440185070037842, 0.0001068115234375, 0.7860062122344971]",22,142902,win,28.763021230697632
1743772365.709245,1743772393.1386065,"[0.00010800361633300781, 3.893664598464966, 9.608268737792969e-05, 3.920741319656372, 0.00011324882507324219, 3.8758342266082764, 7.295608520507812e-05, 3.851599931716919, 0.00015401840209960938, 3.7438323497772217, 0.00020194053649902344, 2.97689151763916, 9.5367431640625e-05, 1.5553317070007324, 9.322166442871094e-05, 1.5176506042480469, 0.00010704994201660156, 1.2207188606262207, 5.3882598876953125e-05, 0.8707327842712402]",20,144180,win,27.429361581802368
1743772393.138734,1743772421.516971,"[0.00010180473327636719, 3.863194227218628, 0.00010347366333007812, 3.7528939247131348, 0.00014829635620117188, 3.6473379135131836, 7.224082946777344e-05, 3.7242159843444824, 0.00012373924255371094, 3.2770378589630127, 0.00010991096496582031, 3.1723594665527344, 0.0002903938293457031, 1.982994556427002, 0.00012636184692382812, 2.1650168895721436, 0.0001266002655029297, 1.8382258415222168, 6.341934204101562e-05, 0.9522836208343506]",20,152707,win,28.378237009048462
1743772421.5170925,1743772450.5266936,"[9.918212890625e-05, 4.463336706161499, 0.0001277923583984375, 4.786637306213379, 0.00015234947204589844, 4.798354864120483, 0.00010514259338378906, 4.876904249191284, 0.00017547607421875, 2.1956546306610107, 0.00014257431030273438, 2.1088204383850098, 0.0001888275146484375, 1.6163651943206787, 0.00010466575622558594, 1.2705469131469727, 9.34600830078125e-05, 1.1533873081207275, 5.2928924560546875e-05, 0.9640536308288574, 8.821487426757812e-05, 0.49979329109191895, 6.031990051269531e-05, 0.272615909576416]",24,126909,win,29.00960111618042
