start_time,end_time,move_times,moves,states_explored,outcome,game_duration
1743768218.0694585,1743768222.4227066,"[0.43656373023986816, 0.00014972686767578125, 0.39017248153686523, 0.00011157989501953125, 0.49861645698547363, 0.00011563301086425781, 0.6239919662475586, 0.00033974647521972656, 0.5481572151184082, 9.512901306152344e-05, 0.3376433849334717, 9.417533874511719e-05, 0.5657608509063721, 0.00010013580322265625, 0.5425238609313965, 0.00017452239990234375, 0.11652565002441406, 0.0001690387725830078, 0.05067133903503418, 8.96453857421875e-05, 0.028475284576416016, 5.5789947509765625e-05, 0.10873103141784668, 7.009506225585938e-05, 0.02705216407775879, 0.00011587142944335938, 0.04352116584777832, 6.985664367675781e-05, 0.020694971084594727, 7.200241088867188e-05, 0.0058133602142333984, 5.054473876953125e-05, 0.0020956993103027344, 4.172325134277344e-05, 0.0008947849273681641, 3.218650817871094e-05, 0.00042700767517089844, 2.8371810913085938e-05, 0.0001766681671142578, 2.8371810913085938e-05, 7.009506225585938e-05]",41,23831,win,4.353248119354248
1743768222.4228587,1743768225.674915,"[0.42525410652160645, 0.00011587142944335938, 0.6711862087249756, 0.00010919570922851562, 0.7441811561584473, 8.7738037109375e-05, 0.7151105403900146, 0.00011563301086425781, 0.37375855445861816, 0.0001068115234375, 0.11090826988220215, 9.870529174804688e-05, 0.05814480781555176, 0.00013971328735351562, 0.030343294143676758, 5.507469177246094e-05, 0.04051780700683594, 7.295608520507812e-05, 0.029349803924560547, 5.364418029785156e-05, 0.050884246826171875]",21,18517,win,3.252056360244751
1743768225.6752405,1743768229.4258637,"[0.41726255416870117, 0.00011277198791503906, 0.47490596771240234, 0.0001049041748046875, 0.569509744644165, 7.700920104980469e-05, 0.52297043800354, 0.00010728836059570312, 0.5961771011352539, 0.0001304149627685547, 0.5571608543395996, 9.703636169433594e-05, 0.413130521774292, 0.00011372566223144531, 0.10343551635742188, 7.867813110351562e-05, 0.029904842376708984, 6.0558319091796875e-05, 0.05867338180541992, 0.00010609626770019531, 0.004923582077026367]",21,20988,win,3.7506232261657715
1743768229.4260771,1743768232.9632883,"[0.41840577125549316, 0.00014162063598632812, 0.6576972007751465, 0.00010418891906738281, 0.648761510848999, 7.390975952148438e-05, 0.7391715049743652, 0.00012350082397460938, 0.3772244453430176, 9.894371032714844e-05, 0.30209851264953613, 9.822845458984375e-05, 0.20828771591186523, 6.437301635742188e-05, 0.1521146297454834, 0.00011205673217773438, 0.031298160552978516, 5.4836273193359375e-05, 0.0001671314239501953]",19,19934,win,3.5372111797332764
1743768232.9634378,1743768236.0294929,"[0.4310743808746338, 0.00011444091796875, 0.45380258560180664, 0.00010967254638671875, 0.5415832996368408, 0.00011181831359863281, 0.3903844356536865, 0.00010609626770019531, 0.3856370449066162, 0.00010657310485839844, 0.4183511734008789, 0.00011229515075683594, 0.21662592887878418, 9.775161743164062e-05, 0.1649172306060791, 0.00010418891906738281, 0.035839080810546875, 5.14984130859375e-05, 0.02574443817138672]",19,16844,win,3.0660550594329834
1743768236.0296218,1743768240.8854306,"[0.4322023391723633, 0.00010585784912109375, 0.6521837711334229, 0.00010395050048828125, 0.8151116371154785, 0.00014662742614746094, 0.46854257583618164, 0.00010609626770019531, 0.5237030982971191, 0.00011110305786132812, 0.46979594230651855, 8.654594421386719e-05, 0.7168819904327393, 0.00010013580322265625, 0.5357863903045654, 0.00011706352233886719, 0.11842775344848633, 5.8650970458984375e-05, 0.0529477596282959, 0.00011277198791503906, 0.04026055335998535, 0.00011157989501953125, 0.019181489944458008, 6.103515625e-05, 0.006261348724365234, 4.482269287109375e-05, 0.0015931129455566406]",27,26589,win,4.855808734893799
1743768240.8855886,1743768244.198676,"[0.4284675121307373, 0.00010204315185546875, 0.6076245307922363, 0.00011396408081054688, 0.4424164295196533, 7.343292236328125e-05, 0.4982335567474365, 0.00013303756713867188, 0.2849123477935791, 9.393692016601562e-05, 0.23496103286743164, 7.891654968261719e-05, 0.26967787742614746, 0.0001373291015625, 0.20665955543518066, 6.699562072753906e-05, 0.1860957145690918, 6.341934204101562e-05, 0.15166592597961426]",19,19336,win,3.3130874633789062
1743768244.1988244,1743768247.8473275,"[0.4386582374572754, 0.00010418891906738281, 0.48560214042663574, 0.00010657310485839844, 0.5338015556335449, 7.462501525878906e-05, 0.48473691940307617, 0.00010442733764648438, 0.4662952423095703, 0.000156402587890625, 0.4715433120727539, 0.00010919570922851562, 0.34892702102661133, 8.559226989746094e-05, 0.15557265281677246, 6.532669067382812e-05, 0.19617772102355957, 7.915496826171875e-05, 0.0650787353515625]",19,21013,win,3.648503065109253
1743768247.8474987,1743768251.2252622,"[0.3992583751678467, 0.00010943412780761719, 0.4867680072784424, 0.00010967254638671875, 0.46651697158813477, 7.224082946777344e-05, 0.5681359767913818, 0.00011491775512695312, 0.4595623016357422, 6.079673767089844e-05, 0.5036098957061768, 8.606910705566406e-05, 0.21964669227600098, 6.723403930664062e-05, 0.08659052848815918, 0.00011277198791503906, 0.14399003982543945, 6.222724914550781e-05, 0.041467905044555664]",19,20238,win,3.377763509750366
1743768251.2253907,1743768254.7147467,"[0.39940667152404785, 9.679794311523438e-05, 0.3870863914489746, 0.00010633468627929688, 0.5702192783355713, 7.534027099609375e-05, 0.5290710926055908, 0.0001232624053955078, 0.5518782138824463, 0.0001087188720703125, 0.1514720916748047, 6.580352783203125e-05, 0.35657405853271484, 8.511543273925781e-05, 0.19579768180847168, 7.724761962890625e-05, 0.14052605628967285, 0.00010085105895996094, 0.204819917678833]",19,20871,win,3.48935604095459
