start_time,end_time,move_times,moves,states_explored,outcome,game_duration
1743785508.8540494,1743785516.7421105,"[0.0014958381652832031, 0.6150577068328857, 0.00010609626770019531, 0.4516112804412842, 0.00010633468627929688, 0.3878777027130127, 0.0001087188720703125, 0.1881711483001709, 0.0001785755157470703, 0.4801781177520752, 9.72747802734375e-05, 0.3807089328765869, 8.749961853027344e-05, 0.2247319221496582, 0.00012087821960449219, 0.5769917964935303, 0.0001232624053955078, 0.9012196063995361, 0.00010395050048828125, 1.0261895656585693, 0.00011897087097167969, 0.9906353950500488, 0.00014090538024902344, 1.0267746448516846, 0.00010085105895996094, 0.43428492546081543, 0.00010228157043457031, 0.06271147727966309, 9.655952453613281e-05, 0.032216548919677734, 5.91278076171875e-05, 0.04973316192626953, 5.936622619628906e-05, 0.05332016944885254]",34,45816,win,7.888061046600342
1743785516.7423425,1743785519.7105722,"[0.0003414154052734375, 0.4867665767669678, 0.0001125335693359375, 0.4829862117767334, 0.0001285076141357422, 0.5729794502258301, 0.00010585784912109375, 0.5665903091430664, 0.00015878677368164062, 0.6491532325744629, 0.000164031982421875, 0.08101153373718262, 7.319450378417969e-05, 0.08267784118652344, 6.461143493652344e-05, 0.04368138313293457]",16,17023,win,2.9682297706604004
1743785519.7107484,1743785526.3476791,"[0.00011968612670898438, 0.6391844749450684, 0.00029015541076660156, 0.900317907333374, 0.00014090538024902344, 0.9072566032409668, 9.655952453613281e-05, 0.8752486705780029, 0.00011348724365234375, 0.3630547523498535, 0.00011014938354492188, 0.5630970001220703, 0.00012946128845214844, 0.570934534072876, 0.00011563301086425781, 0.5825033187866211, 0.00015044212341308594, 0.4626164436340332, 0.00010824203491210938, 0.1874842643737793, 8.034706115722656e-05, 0.29604172706604004, 9.441375732421875e-05, 0.1342332363128662, 8.749961853027344e-05, 0.06566143035888672, 7.843971252441406e-05, 0.04827380180358887, 6.389617919921875e-05, 0.02688765525817871, 5.340576171875e-05, 0.009931325912475586]",32,37218,win,6.636930704116821
1743785526.3479009,1743785529.7906082,"[0.00012087821960449219, 0.4495816230773926, 0.00010585784912109375, 0.5347166061401367, 0.00010967254638671875, 1.4404258728027344, 0.000118255615234375, 0.43583130836486816, 9.512901306152344e-05, 0.2214343547821045, 7.414817810058594e-05, 0.3593127727508545]",12,16455,win,3.4427073001861572
1743785529.79075,1743785533.9480236,"[0.0001125335693359375, 0.49805688858032227, 0.00011873245239257812, 0.4447166919708252, 0.0001270771026611328, 0.5768942832946777, 8.273124694824219e-05, 0.4554593563079834, 0.00011014938354492188, 0.5046517848968506, 0.00010395050048828125, 0.6176016330718994, 9.822845458984375e-05, 0.5169210433959961, 9.918212890625e-05, 0.33417344093322754, 9.870529174804688e-05, 0.18477082252502441, 8.893013000488281e-05, 0.02177715301513672]",20,23690,win,4.157273530960083
1743785533.948139,1743785537.6105552,"[0.00011706352233886719, 0.4893801212310791, 0.00011944770812988281, 0.3648693561553955, 0.00010061264038085938, 0.36999058723449707, 0.00014352798461914062, 0.4849240779876709, 0.00011515617370605469, 0.6212193965911865, 0.00010514259338378906, 0.41195034980773926, 9.322166442871094e-05, 0.1767137050628662, 0.0001304149627685547, 0.29721546173095703, 0.00014472007751464844, 0.17697453498840332, 0.0001285076141357422, 0.05657649040222168, 0.00010132789611816406, 0.11552000045776367, 0.00010061264038085938, 0.0722663402557373, 8.678436279296875e-05, 0.014088869094848633, 6.270408630371094e-05, 0.0073926448822021484]",28,20368,win,3.6624162197113037
1743785537.6107118,1743785542.5491576,"[0.00016450881958007812, 0.5266118049621582, 0.00010085105895996094, 0.4312002658843994, 0.00011754035949707031, 0.529059886932373, 0.00010752677917480469, 0.6092066764831543, 0.00011110305786132812, 0.8242795467376709, 0.00011610984802246094, 0.9322299957275391, 0.00011420249938964844, 0.18651509284973145, 0.00011157989501953125, 0.19769501686096191, 0.00010538101196289062, 0.22211146354675293, 0.00010728836059570312, 0.10583353042602539, 0.00013136863708496094, 0.08105349540710449, 7.963180541992188e-05, 0.2362804412841797, 9.131431579589844e-05, 0.05341005325317383]",26,27856,win,4.938445806503296
1743785542.5492628,1743785547.3601997,"[9.965896606445312e-05, 0.6442649364471436, 0.00013113021850585938, 0.5241241455078125, 0.00010323524475097656, 0.5097770690917969, 0.000179290771484375, 0.9440720081329346, 0.00010967254638671875, 0.8374054431915283, 0.000141143798828125, 0.5169267654418945, 0.0001087188720703125, 0.11469101905822754, 6.818771362304688e-05, 0.4738905429840088, 0.00010371208190917969, 0.24358773231506348]",18,26986,win,4.81093692779541
1743785547.3602998,1743785550.2028918,"[0.00010132789611816406, 0.4940814971923828, 0.00010132789611816406, 0.5257477760314941, 0.00010085105895996094, 0.6139223575592041, 0.00010848045349121094, 0.4927031993865967, 7.724761962890625e-05, 0.17751336097717285, 0.00010752677917480469, 0.19607090950012207, 9.1552734375e-05, 0.1321854591369629, 7.128715515136719e-05, 0.06663918495178223, 7.82012939453125e-05, 0.10867834091186523, 0.0001862049102783203, 0.03280019760131836]",20,15975,win,2.8425920009613037
1743785550.2030058,1743785553.581548,"[9.894371032714844e-05, 0.611346960067749, 0.00012302398681640625, 0.5918653011322021, 0.00010538101196289062, 0.23331284523010254, 0.00012636184692382812, 0.4843437671661377, 0.00012159347534179688, 0.44236278533935547, 7.724761962890625e-05, 0.41727590560913086, 0.00010895729064941406, 0.12801170349121094, 0.00010633468627929688, 0.37972307205200195, 0.00012683868408203125, 0.08816337585449219]",18,17204,win,3.378542184829712
