episode,total_reward
1,-1.06
2,-1.15
3,-0.01
4,-1.09
5,0.91
6,-1.08
7,-0.07
8,-0.01
9,0.94
10,-0.060000000000000005
11,-0.02
12,-0.01
13,-0.03
14,-0.03
15,-0.10999999999999999
16,-0.09
17,-0.03
18,-0.01
19,-1.08
20,-0.08
21,-1.1099999999999999
22,-1.1
23,0.9
24,-0.02
25,0.9
26,-0.09
27,-1.1
28,-0.04
29,-1.07
30,-0.09
31,-0.11999999999999998
32,-1.05
33,0.95
34,-0.01
35,-0.02
36,-0.04
37,0.85
38,-1.05
39,-0.09999999999999999
40,-0.09999999999999999
41,-0.060000000000000005
42,-1.07
43,-0.09
44,-0.05
45,-1.1099999999999999
46,-0.01
47,-0.04
48,-0.09
49,-1.1
50,0.85
51,-1.08
52,-1.07
53,0.9
54,-0.07
55,-0.05
56,-1.1199999999999999
57,-0.08
58,-0.04
59,-0.02
60,-0.02
61,-0.03
62,-0.01
63,-0.060000000000000005
64,-0.01
65,0.97
66,-0.05
67,-0.04
68,-0.02
69,-1.09
70,-0.07
71,-0.04
72,-0.05
73,-1.05
74,-0.01
75,-1.1
76,-0.07
77,-0.02
78,-1.09
79,-1.06
80,-1.08
81,-0.060000000000000005
82,-0.08
83,-0.07
84,-1.07
85,-0.060000000000000005
86,-0.08
87,-1.07
88,-0.04
89,-0.11999999999999998
90,-0.02
91,-0.02
92,-0.01
93,-1.04
94,-1.1
95,-0.05
96,-0.05
97,-0.02
98,-0.01
99,-0.07
100,-0.05
101,-0.05
102,-1.07
103,-0.05
104,-0.12999999999999998
105,-0.09
106,-0.03
107,-0.03
108,-0.07
109,-0.01
110,-0.05
111,-0.02
112,-0.02
113,-0.04
114,0.92
115,-0.09
116,-0.05
117,-0.07
118,0.94
119,-0.05
120,-0.05
121,-0.01
122,-0.01
123,-0.19000000000000003
124,-1.07
125,-1.04
126,-0.04
127,-0.060000000000000005
128,-1.13
129,-0.01
130,-0.08
131,-0.01
132,-0.04
133,0.97
134,-0.05
135,-0.060000000000000005
136,-1.07
137,0.94
138,-0.09
139,-0.11999999999999998
140,-0.01
141,0.97
142,-0.01
143,0.96
144,-0.02
145,-0.05
146,-0.01
147,-0.03
148,-0.060000000000000005
149,-0.03
150,-0.03
151,-0.01
152,-0.02
153,-0.05
154,0.97
155,-0.08
156,-0.03
157,-0.02
158,-0.02
159,-0.05
160,-0.04
161,0.92
162,0.92
163,-0.01
164,-1.07
165,-0.09
166,-1.03
167,-0.02
168,-0.08
169,-0.05
170,-0.03
171,-0.03
172,-0.02
173,-0.03
174,-0.02
175,-0.02
176,-0.01
177,-0.03
178,-1.05
179,-0.04
180,-0.04
181,-0.060000000000000005
182,0.9
183,0.97
184,-0.01
185,-0.02
186,-0.09
187,-0.07
188,-0.09
189,-0.04
190,-0.07
191,-0.03
192,-0.05
193,-0.03
194,-0.01
195,0.91
196,-1.08
197,-1.06
198,-0.05
199,-1.08
200,0.9
201,-1.06
202,-0.09
203,-0.060000000000000005
204,-0.09
205,-0.02
206,-0.04
207,0.91
208,-0.02
209,-0.07
210,-0.03
211,-0.01
212,-0.01
213,-0.05
214,0.91
215,-0.060000000000000005
216,-1.1199999999999999
217,-0.060000000000000005
218,-0.03
219,-1.05
220,-0.060000000000000005
221,-0.08
222,-0.02
223,-0.01
224,0.97
225,-0.04
226,-0.02
227,-0.07
228,-0.02
229,0.9
230,0.9
231,-1.1
232,-0.09
233,0.89
234,-0.11999999999999998
235,-1.1
