start_time,end_time,move_times,moves,states_explored,outcome,game_duration
1743763482.993983,1743763487.8986683,"[0.5205934047698975, 0.00012040138244628906, 0.5258090496063232, 0.0001227855682373047, 0.5582714080810547, 0.00013208389282226562, 0.5200421810150146, 8.535385131835938e-05, 0.5044786930084229, 0.00011467933654785156, 0.6306147575378418, 0.00010943412780761719, 0.4858415126800537, 0.00022339820861816406, 0.28855156898498535, 0.00011587142944335938, 0.34662556648254395, 9.918212890625e-05, 0.24976873397827148, 8.893013000488281e-05, 0.17451739311218262, 0.00010728836059570312, 0.03716015815734863, 6.508827209472656e-05, 0.03428959846496582, 0.00014138221740722656, 0.023787975311279297]",27,24149,win,4.9046852588653564
1743763487.8988101,1743763492.4269435,"[0.49953484535217285, 0.00015807151794433594, 0.8818449974060059, 0.00015616416931152344, 0.7494015693664551, 0.00021982192993164062, 0.8783390522003174, 0.0003254413604736328, 0.692521333694458, 0.0001595020294189453, 0.4898695945739746, 0.0001595020294189453, 0.12891197204589844, 0.0001971721649169922, 0.18883490562438965, 0.00011277198791503906, 0.01470494270324707]",17,17140,win,4.528133392333984
1743763492.4272428,1743763496.1410067,"[0.5745530128479004, 0.00013256072998046875, 0.6328961849212646, 0.0001513957977294922, 0.6912972927093506, 0.00014019012451171875, 0.6465566158294678, 0.00014972686767578125, 0.3093249797821045, 0.00010228157043457031, 0.28237056732177734, 0.00011563301086425781, 0.1618638038635254, 0.00010538101196289062, 0.1910548210144043, 6.67572021484375e-05, 0.013201713562011719, 8.20159912109375e-05, 0.06283283233642578, 7.557868957519531e-05, 0.1449415683746338]",21,16272,win,3.713763952255249
1743763496.1411166,1743763501.7030778,"[0.469987154006958, 0.00011777877807617188, 0.5917782783508301, 0.000110626220703125, 0.7740468978881836, 7.82012939453125e-05, 0.6193130016326904, 0.00021767616271972656, 1.4411768913269043, 0.0001373291015625, 0.8461036682128906, 0.00013208389282226562, 0.5456223487854004, 0.00013494491577148438, 0.14649200439453125, 0.0001049041748046875, 0.046488046646118164, 0.00011444091796875, 0.02489161491394043, 7.390975952148438e-05, 0.014078855514526367, 6.723403930664062e-05, 0.01297450065612793, 7.796287536621094e-05, 0.0067729949951171875, 9.179115295410156e-05, 0.017818689346313477, 9.846687316894531e-05, 0.0007228851318359375]",29,22529,win,5.5619611740112305
1743763501.703318,1743763509.1682806,"[0.6915290355682373, 0.00021266937255859375, 0.9546647071838379, 0.00014972686767578125, 0.9178464412689209, 0.00013303756713867188, 0.9343152046203613, 0.00019240379333496094, 0.8213262557983398, 0.0001220703125, 0.7503509521484375, 7.510185241699219e-05, 0.8167030811309814, 9.250640869140625e-05, 1.0425682067871094, 0.00013637542724609375, 0.2845919132232666, 8.940696716308594e-05, 0.13899803161621094, 0.0001971721649169922, 0.10905051231384277]",21,26815,win,7.464962482452393
1743763509.1684656,1743763515.0263543,"[0.6037619113922119, 0.0002543926239013672, 0.5462465286254883, 0.00022339820861816406, 0.799187421798706, 7.867813110351562e-05, 0.8782577514648438, 0.00021266937255859375, 1.011953592300415, 0.00022554397583007812, 0.4551401138305664, 0.0001633167266845703, 0.6874079704284668, 0.00011467933654785156, 0.32941198348999023, 0.00010275840759277344, 0.2037830352783203, 0.00018334388732910156, 0.27027082443237305, 8.440017700195312e-05, 0.06879115104675293]",21,23348,win,5.857888698577881
1743763515.0264838,1743763519.9356425,"[0.5323388576507568, 0.00011801719665527344, 0.9057297706604004, 0.0002269744873046875, 0.927483320236206, 0.00016736984252929688, 0.6370522975921631, 0.0002779960632324219, 1.1362886428833008, 0.0002911090850830078, 0.23451900482177734, 9.72747802734375e-05, 0.09295248985290527, 0.00011587142944335938, 0.3571970462799072, 0.0001010894775390625, 0.0821988582611084]",17,18787,win,4.909158706665039
1743763519.93578,1743763524.0031564,"[0.6555728912353516, 0.00014328956604003906, 0.9303717613220215, 0.00011706352233886719, 0.8860080242156982, 0.00031828880310058594, 0.7286334037780762, 0.0001289844512939453, 0.39290308952331543, 0.00011920928955078125, 0.15486598014831543, 0.00013589859008789062, 0.09833097457885742, 6.961822509765625e-05, 0.2184739112854004]",15,16009,win,4.067376375198364
1743763524.003333,1743763529.3778272,"[0.5840559005737305, 0.00016260147094726562, 0.8945765495300293, 0.0002338886260986328, 0.9759597778320312, 0.0002040863037109375, 0.6813862323760986, 7.772445678710938e-05, 0.3985579013824463, 0.00010156631469726562, 0.9438655376434326, 9.179115295410156e-05, 0.35216689109802246, 7.62939453125e-05, 0.13201117515563965, 9.751319885253906e-05, 0.10185909271240234, 6.4849853515625e-05, 0.1242220401763916, 0.00012969970703125, 0.07979130744934082, 0.0001785755157470703, 0.09601783752441406, 7.796287536621094e-05, 0.006413459777832031]",25,22073,win,5.3744940757751465
1743763529.377972,1743763532.5742931,"[0.5220973491668701, 0.00014209747314453125, 0.531132698059082, 9.989738464355469e-05, 0.7561430931091309, 0.00014448165893554688, 0.6097705364227295, 0.00011086463928222656, 0.16177105903625488, 6.532669067382812e-05, 0.6141295433044434]",11,14007,win,3.1963212490081787
