start_time,end_time,move_times,moves,states_explored,outcome,game_duration
1743763413.678691,1743763419.3153205,"[0.0002090930938720703, 0.6561267375946045, 0.0002079010009765625, 0.9503302574157715, 0.00010752677917480469, 0.9050569534301758, 0.0002028942108154297, 1.1209213733673096, 0.00011754035949707031, 1.0225279331207275, 9.226799011230469e-05, 0.31900906562805176, 0.00010204315185546875, 0.1951291561126709, 7.486343383789062e-05, 0.4088304042816162, 9.799003601074219e-05, 0.05562019348144531]",18,22658,win,5.636629581451416
1743763419.3154898,1743763423.8581142,"[0.00013065338134765625, 0.7060971260070801, 0.00011754035949707031, 0.4107387065887451, 0.00011444091796875, 0.7231073379516602, 0.00012111663818359375, 0.6017165184020996, 0.00010061264038085938, 0.29974937438964844, 0.00012111663818359375, 0.3075118064880371, 0.00010061264038085938, 0.2831873893737793, 0.0001232624053955078, 0.4868288040161133, 9.369850158691406e-05, 0.2771186828613281, 8.893013000488281e-05, 0.2649226188659668, 0.00013828277587890625, 0.11969852447509766, 8.344650268554688e-05, 0.042113304138183594, 7.510185241699219e-05, 0.015539407730102539]",26,20585,win,4.542624473571777
1743763423.8583193,1743763429.3931437,"[0.00015020370483398438, 0.5673696994781494, 0.00011467933654785156, 0.5284719467163086, 0.00013494491577148438, 0.7039856910705566, 7.915496826171875e-05, 0.9860162734985352, 0.00028252601623535156, 0.5765194892883301, 0.00011110305786132812, 0.7128984928131104, 0.00032639503479003906, 0.430694580078125, 0.00013065338134765625, 0.492279052734375, 0.00031566619873046875, 0.1995382308959961, 0.0001232624053955078, 0.0989835262298584, 0.00024175643920898438, 0.23371505737304688]",22,25147,win,5.534824371337891
1743763429.3932655,1743763434.2825212,"[0.00011014938354492188, 0.89715576171875, 0.00011229515075683594, 0.5862095355987549, 0.00011754035949707031, 0.5983409881591797, 0.00010824203491210938, 0.5677614212036133, 0.00013375282287597656, 0.5537006855010986, 0.00016450881958007812, 0.2821507453918457, 0.00010991096496582031, 0.16714811325073242, 0.00015878677368164062, 0.5557262897491455, 0.0001838207244873047, 0.4599614143371582, 0.00021982192993164062, 0.21103715896606445, 8.487701416015625e-05, 0.006663084030151367]",22,19779,win,4.88925576210022
1743763434.2826633,1743763440.4251604,"[0.00012040138244628906, 0.6373941898345947, 0.00010180473327636719, 0.4056062698364258, 0.00012087821960449219, 0.655048131942749, 8.797645568847656e-05, 0.8606669902801514, 0.0002765655517578125, 1.3611841201782227, 0.00012683868408203125, 0.6382324695587158, 0.0001220703125, 0.32890772819519043, 0.00011944770812988281, 0.6618466377258301, 0.0001277923583984375, 0.45763421058654785, 6.031990051269531e-05, 0.13312745094299316]",20,25415,win,6.1424970626831055
1743763440.425353,1743763446.5707536,"[0.000186920166015625, 0.8285343647003174, 0.00025153160095214844, 0.8689358234405518, 0.00011610984802246094, 0.6794857978820801, 0.00013756752014160156, 0.7873005867004395, 0.00013327598571777344, 0.6614174842834473, 0.00012826919555664062, 0.24424433708190918, 0.00013947486877441406, 0.22806787490844727, 0.00011372566223144531, 0.8327884674072266, 0.00010061264038085938, 0.45960283279418945, 0.00015282630920410156, 0.31294846534729004, 0.00011992454528808594, 0.11526322364807129, 8.821487426757812e-05, 0.06002473831176758, 5.7220458984375e-05, 0.020230770111083984, 0.00011181831359863281, 0.014149665832519531, 7.724761962890625e-05, 0.027773380279541016]",30,22914,win,6.145400524139404
1743763446.570918,1743763452.7374806,"[0.00014734268188476562, 0.6746435165405273, 0.0001385211944580078, 0.9360306262969971, 0.00015401840209960938, 0.7439277172088623, 0.00010347366333007812, 0.7402112483978271, 0.00014257431030273438, 0.8396735191345215, 0.0003845691680908203, 0.5808765888214111, 0.00010824203491210938, 0.4824793338775635, 0.000164031982421875, 0.42572522163391113, 0.0001819133758544922, 0.3116590976715088, 0.0001628398895263672, 0.3799011707305908, 0.00023293495178222656, 0.047370195388793945]",22,21262,win,6.166562557220459
1743763452.7376952,1743763457.6037133,"[0.00018024444580078125, 0.9169938564300537, 0.00011897087097167969, 0.7824170589447021, 0.00011515617370605469, 0.7907791137695312, 9.918212890625e-05, 0.4581320285797119, 9.799003601074219e-05, 0.36143922805786133, 0.0001652240753173828, 0.45914173126220703, 9.989738464355469e-05, 0.2613389492034912, 6.937980651855469e-05, 0.13041329383850098, 0.00012087821960449219, 0.11738324165344238, 0.00015783309936523438, 0.09431219100952148, 0.00010395050048828125, 0.16213679313659668, 6.532669067382812e-05, 0.23153376579284668, 0.0002446174621582031, 0.05025649070739746, 0.000209808349609375, 0.025742530822753906, 9.417533874511719e-05, 0.019094467163085938]",30,20681,win,4.866018056869507
1743763457.6040266,1743763462.2647247,"[0.00042438507080078125, 0.7258365154266357, 0.0001480579376220703, 0.5243377685546875, 0.00017595291137695312, 0.5611419677734375, 8.249282836914062e-05, 0.5828661918640137, 0.00011444091796875, 0.6835711002349854, 0.00018548965454101562, 0.6306757926940918, 0.0004115104675292969, 0.32279276847839355, 0.0002467632293701172, 0.29374003410339355, 7.224082946777344e-05, 0.09221267700195312, 0.00021195411682128906, 0.19932842254638672, 8.749961853027344e-05, 0.027050018310546875, 5.698204040527344e-05, 0.012450695037841797]",24,16936,win,4.660698175430298
1743763462.2648537,1743763470.110725,"[0.00010919570922851562, 1.0915930271148682, 0.00015091896057128906, 0.8402013778686523, 0.00013208389282226562, 1.3646667003631592, 0.00013589859008789062, 0.8726725578308105, 0.00012826919555664062, 0.7826633453369141, 0.00021076202392578125, 1.0200159549713135, 0.00014853477478027344, 1.0424778461456299, 0.0002961158752441406, 0.828726053237915]",16,27389,win,7.845871210098267
