start_time,end_time,move_times,moves,states_explored,outcome,game_duration
1743772137.777858,1743772137.9517925,"[0.00013446807861328125, 0.16437649726867676, 8.630752563476562e-05, 0.008597135543823242, 4.172325134277344e-05, 0.00023674964904785156, 3.838539123535156e-05, 3.123283386230469e-05, 1.9550323486328125e-05]",9,8778,draw,0.1739344596862793
1743772137.9519217,1743772138.119921,"[8.678436279296875e-05, 0.15866637229919434, 7.605552673339844e-05, 0.008462905883789062, 3.528594970703125e-05, 0.00025081634521484375, 3.981590270996094e-05, 3.528594970703125e-05, 2.3365020751953125e-05]",9,8778,draw,0.167999267578125
1743772138.1200438,1743772138.2780023,"[9.679794311523438e-05, 0.1497483253479004, 7.677078247070312e-05, 0.006684064865112305, 4.458427429199219e-05, 0.0004956722259521484, 0.00010275840759277344, 0.0001392364501953125, 8.630752563476562e-05]",9,8610,draw,0.1579585075378418
1743772138.2781477,1743772138.4175384,"[8.153915405273438e-05, 0.12888264656066895, 7.796287536621094e-05, 0.00958395004272461, 4.315376281738281e-05, 0.00025272369384765625, 4.124641418457031e-05, 3.147125244140625e-05, 1.9073486328125e-05]",9,8778,draw,0.1393907070159912
1743772138.4176672,1743772138.5539265,"[9.799003601074219e-05, 0.12575602531433105, 8.368492126464844e-05, 0.009102582931518555, 3.8623809814453125e-05, 0.0003476142883300781, 0.00019216537475585938, 6.604194641113281e-05, 1.9073486328125e-05]",9,8778,draw,0.1362593173980713
1743772138.5540578,1743772138.6885786,"[8.440017700195312e-05, 0.127274751663208, 7.796287536621094e-05, 0.0064754486083984375, 3.8623809814453125e-05, 0.0002269744873046875, 3.790855407714844e-05, 2.8133392333984375e-05, 2.2649765014648438e-05]",9,8610,draw,0.1345207691192627
1743772138.688723,1743772138.8255184,"[7.987022399902344e-05, 0.12893438339233398, 8.0108642578125e-05, 0.006739616394042969, 4.220008850097656e-05, 0.0002655982971191406, 4.267692565917969e-05, 3.075599670410156e-05, 3.0994415283203125e-05]",9,8610,draw,0.1367952823638916
1743772138.8257647,1743772138.9682899,"[9.799003601074219e-05, 0.13161158561706543, 8.20159912109375e-05, 0.00985860824584961, 4.220008850097656e-05, 0.0002701282501220703, 5.0067901611328125e-05, 4.100799560546875e-05, 2.2649765014648438e-05]",9,8778,draw,0.14252519607543945
1743772138.968439,1743772139.1299772,"[9.465217590332031e-05, 0.1539444923400879, 8.988380432128906e-05, 0.006658792495727539, 3.933906555175781e-05, 0.00025963783264160156, 4.6253204345703125e-05, 3.0517578125e-05, 1.9311904907226562e-05]",9,8610,draw,0.16153812408447266
1743772139.1301157,1743772139.271304,"[8.58306884765625e-05, 0.13270854949951172, 7.891654968261719e-05, 0.0073757171630859375, 4.220008850097656e-05, 0.0004363059997558594, 4.0531158447265625e-05, 3.147125244140625e-05, 1.811981201171875e-05]",9,8610,draw,0.1411881446838379
