start_time,end_time,move_times,moves,states_explored,outcome,game_duration
1743785433.2793121,1743785433.364286,"[0.068572998046875, 0.00012683868408203125, 0.014825105667114258, 0.00010371208190917969, 0.0008165836334228516, 4.9591064453125e-05, 0.00012040138244628906, 3.910064697265625e-05, 1.8358230590820312e-05]",9,3594,draw,0.08497381210327148
1743785433.3642964,1743785433.4339561,"[0.06027984619140625, 7.510185241699219e-05, 0.00848245620727539, 5.888938903808594e-05, 0.0004935264587402344, 2.956390380859375e-05, 6.29425048828125e-05, 2.002716064453125e-05, 9.298324584960938e-06]",9,3840,draw,0.06965970993041992
1743785433.4341047,1743785433.485089,"[0.04372692108154297, 8.082389831542969e-05, 0.006464719772338867, 5.245208740234375e-05, 0.000408172607421875, 2.574920654296875e-05, 6.008148193359375e-05, 2.0742416381835938e-05, 9.5367431640625e-06]",9,3594,draw,0.05098438262939453
1743785433.4850974,1743785433.5334034,"[0.0409998893737793, 7.867813110351562e-05, 0.006507396697998047, 6.866455078125e-05, 0.00039577484130859375, 2.47955322265625e-05, 7.104873657226562e-05, 2.193450927734375e-05, 1.0251998901367188e-05]",9,3594,draw,0.04830598831176758
1743785433.533411,1743785433.5823746,"[0.042487144470214844, 7.605552673339844e-05, 0.005573749542236328, 5.078315734863281e-05, 0.0005462169647216797, 2.86102294921875e-05, 6.29425048828125e-05, 1.6689300537109375e-05, 9.059906005859375e-06]",9,3523,draw,0.04896354675292969
1743785433.582517,1743785433.6323886,"[0.042697906494140625, 8.702278137207031e-05, 0.006388425827026367, 5.030632019042969e-05, 0.0004057884216308594, 2.5510787963867188e-05, 5.984306335449219e-05, 2.0503997802734375e-05, 9.5367431640625e-06]",9,3594,draw,0.04987168312072754
1743785433.632396,1743785433.681278,"[0.041671037673950195, 7.343292236328125e-05, 0.006464242935180664, 5.2928924560546875e-05, 0.0003962516784667969, 2.47955322265625e-05, 5.8650970458984375e-05, 2.0265579223632812e-05, 9.5367431640625e-06]",9,3594,draw,0.04888200759887695
1743785433.6812875,1743785433.7322598,"[0.04190206527709961, 7.176399230957031e-05, 0.008214473724365234, 5.507469177246094e-05, 0.0004894733428955078, 2.7894973754882812e-05, 5.936622619628906e-05, 1.9311904907226562e-05, 9.5367431640625e-06]",9,3840,draw,0.05097222328186035
1743785433.7323766,1743785433.7859747,"[0.044582366943359375, 7.462501525878906e-05, 0.008129596710205078, 5.459785461425781e-05, 0.0005121231079101562, 2.956390380859375e-05, 5.9604644775390625e-05, 1.9788742065429688e-05, 9.298324584960938e-06]",9,3840,draw,0.05359816551208496
1743785433.7859814,1743785433.8343966,"[0.043674468994140625, 7.653236389160156e-05, 0.0038976669311523438, 5.1975250244140625e-05, 0.00047850608825683594, 3.0279159545898438e-05, 5.984306335449219e-05, 1.6450881958007812e-05, 9.059906005859375e-06]",9,3377,draw,0.048415184020996094
1743785433.8345108,1743785433.886454,"[0.04544258117675781, 8.392333984375e-05, 0.005548000335693359, 4.9591064453125e-05, 0.0005373954772949219, 3.4809112548828125e-05, 6.699562072753906e-05, 1.6927719116210938e-05, 9.298324584960938e-06]",9,3523,draw,0.051943302154541016
1743785433.8864617,1743785433.9361794,"[0.04340195655822754, 7.605552673339844e-05, 0.005405902862548828, 4.9114227294921875e-05, 0.0005512237548828125, 2.9325485229492188e-05, 6.413459777832031e-05, 1.6450881958007812e-05, 9.059906005859375e-06]",9,3523,draw,0.04971766471862793
1743785433.936288,1743785433.985724,"[0.043013572692871094, 7.62939453125e-05, 0.0054934024810791016, 5.078315734863281e-05, 0.0005598068237304688, 2.9087066650390625e-05, 6.318092346191406e-05, 1.5735626220703125e-05, 9.298324584960938e-06]",9,3523,draw,0.04943585395812988
1743785433.9857311,1743785434.0335758,"[0.041274070739746094, 7.414817810058594e-05, 0.005572795867919922, 5.507469177246094e-05, 0.0006070137023925781, 3.3855438232421875e-05, 7.271766662597656e-05, 1.8358230590820312e-05, 1.049041748046875e-05]",9,3523,draw,0.047844648361206055
1743785434.033582,1743785434.0831168,"[0.042177677154541016, 7.700920104980469e-05, 0.006200313568115234, 5.2928924560546875e-05, 0.0007703304290771484, 3.1948089599609375e-05, 6.628036499023438e-05, 1.6689300537109375e-05, 9.298324584960938e-06]",9,3523,draw,0.04953479766845703
1743785434.0832562,1743785434.1344204,"[0.04347419738769531, 7.557868957519531e-05, 0.006903886795043945, 5.316734313964844e-05, 0.00040650367736816406, 2.5987625122070312e-05, 6.031990051269531e-05, 2.0265579223632812e-05, 9.298324584960938e-06]",9,3594,draw,0.05116415023803711
1743785434.1344273,1743785434.1820874,"[0.04122328758239746, 7.128715515136719e-05, 0.005533695220947266, 4.887580871582031e-05, 0.0005550384521484375, 2.9802322387695312e-05, 6.29425048828125e-05, 1.6689300537109375e-05, 9.059906005859375e-06]",9,3523,draw,0.047660112380981445
1743785434.1820934,1743785434.2306943,"[0.041471242904663086, 8.273124694824219e-05, 0.006361722946166992, 5.054473876953125e-05, 0.00040793418884277344, 2.5272369384765625e-05, 6.008148193359375e-05, 2.0265579223632812e-05, 9.5367431640625e-06]",9,3594,draw,0.04860091209411621
1743785434.2308054,1743785434.2821834,"[0.04483795166015625, 9.250640869140625e-05, 0.005464792251586914, 4.9591064453125e-05, 0.0006394386291503906, 3.910064697265625e-05, 6.747245788574219e-05, 1.6450881958007812e-05, 9.775161743164062e-06]",9,3523,draw,0.05137801170349121
1743785434.2821906,1743785434.330501,"[0.0411074161529541, 7.295608520507812e-05, 0.0064449310302734375, 4.982948303222656e-05, 0.0003867149353027344, 5.245208740234375e-05, 6.198883056640625e-05, 2.0265579223632812e-05, 9.298324584960938e-06]",9,3594,draw,0.04831051826477051
1743785434.3305442,1743785434.3776958,"[0.04084587097167969, 7.128715515136719e-05, 0.005430698394775391, 4.935264587402344e-05, 0.0005373954772949219, 2.8848648071289062e-05, 6.341934204101562e-05, 1.621246337890625e-05, 9.298324584960938e-06]",9,3523,draw,0.04715156555175781
1743785434.3778098,1743785434.4316578,"[0.04672837257385254, 7.534027099609375e-05, 0.006352424621582031, 5.0067901611328125e-05, 0.00040841102600097656, 2.574920654296875e-05, 6.008148193359375e-05, 2.002716064453125e-05, 9.5367431640625e-06]",9,3594,draw,0.0538480281829834
