start_time,end_time,move_times,moves,states_explored,outcome,game_duration
1743771085.3170795,1743771085.3174508,"[0.00014829635620117188, 3.600120544433594e-05, 6.842613220214844e-05, 1.5974044799804688e-05, 1.811981201171875e-05]",5,0,loss,0.0003712177276611328
1743771085.3174548,1743771085.317686,"[7.2479248046875e-05, 2.0742416381835938e-05, 6.0558319091796875e-05, 1.52587890625e-05, 2.0742416381835938e-05]",5,0,loss,0.00023126602172851562
1743771085.3176882,1743771085.3179123,"[7.128715515136719e-05, 1.8835067749023438e-05, 5.8650970458984375e-05, 1.5020370483398438e-05, 2.09808349609375e-05]",5,0,loss,0.00022411346435546875
1743771085.317914,1743771085.3181233,"[6.961822509765625e-05, 1.8596649169921875e-05, 6.127357482910156e-05, 1.5020370483398438e-05, 5.9604644775390625e-06]",5,0,loss,0.00020933151245117188
1743771085.3181252,1743771085.318364,"[8.130073547363281e-05, 1.8835067749023438e-05, 6.0558319091796875e-05, 1.4781951904296875e-05, 1.0013580322265625e-05]",5,0,loss,0.00023865699768066406
1743771085.3183665,1743771085.3186402,"[8.106231689453125e-05, 2.2172927856445312e-05, 6.818771362304688e-05, 1.9311904907226562e-05, 3.4809112548828125e-05]",5,0,loss,0.00027370452880859375
1743771085.3186424,1743771085.3188818,"[8.273124694824219e-05, 2.0742416381835938e-05, 6.031990051269531e-05, 1.52587890625e-05, 1.621246337890625e-05]",5,0,loss,0.00023937225341796875
1743771085.3188841,1743771085.3192677,"[7.534027099609375e-05, 1.9311904907226562e-05, 7.295608520507812e-05, 1.5974044799804688e-05, 3.1948089599609375e-05, 1.3113021850585938e-05, 4.220008850097656e-05, 8.106231689453125e-06, 1.7881393432617188e-05]",9,0,draw,0.00038361549377441406
1743771085.319271,1743771085.3196573,"[7.677078247070312e-05, 1.8835067749023438e-05, 6.151199340820312e-05, 1.5735626220703125e-05, 5.1021575927734375e-05, 1.1682510375976562e-05, 3.4809112548828125e-05, 7.867813110351562e-06, 1.71661376953125e-05]",9,0,draw,0.00038623809814453125
1743771085.3196611,1743771085.3199863,"[7.581710815429688e-05, 6.842613220214844e-05, 7.581710815429688e-05, 1.7642974853515625e-05, 2.7418136596679688e-05]",5,0,loss,0.00032520294189453125
