start_time,end_time,move_times,moves,states_explored,outcome,game_duration
1743763690.6161115,1743763690.6442306,"[0.0001952648162841797, 0.022067785263061523, 0.00013971328735351562, 0.0040242671966552734, 6.031990051269531e-05, 0.000606536865234375, 0.00011277198791503906, 6.365776062011719e-05, 3.170967102050781e-05]",9,1068,draw,0.02811908721923828
1743763690.644246,1743763690.6754606,"[0.0001270771026611328, 0.026755809783935547, 0.0001595020294189453, 0.002966165542602539, 6.842613220214844e-05, 0.00036334991455078125, 7.987022399902344e-05, 6.461143493652344e-05, 6.580352783203125e-05]",9,1033,draw,0.031214475631713867
1743763690.6754875,1743763690.6942391,"[0.0001513957977294922, 0.015185832977294922, 8.940696716308594e-05, 0.0025930404663085938, 3.6716461181640625e-05, 0.00025534629821777344, 4.1484832763671875e-05, 3.4332275390625e-05, 2.1219253540039062e-05]",9,1068,draw,0.01875162124633789
1743763690.6942494,1743763690.712175,"[8.368492126464844e-05, 0.01440882682800293, 0.00010180473327636719, 0.002409219741821289, 7.128715515136719e-05, 0.00030112266540527344, 6.079673767089844e-05, 4.8160552978515625e-05, 2.8848648071289062e-05]",9,1033,draw,0.017925500869750977
1743763690.7122066,1743763690.734198,"[0.00014591217041015625, 0.01907062530517578, 0.0001404285430908203, 0.0016071796417236328, 5.6743621826171875e-05, 0.0003113746643066406, 6.318092346191406e-05, 5.030632019042969e-05, 3.0517578125e-05]",9,946,draw,0.021991491317749023
1743763690.7344275,1743763690.7732503,"[0.00014400482177734375, 0.029784440994262695, 0.00024580955505371094, 0.006848812103271484, 9.226799011230469e-05, 0.0006692409515380859, 0.00010085105895996094, 8.296966552734375e-05, 4.863739013671875e-05]",9,1068,draw,0.03882288932800293
1743763690.7732956,1743763690.81338,"[0.00027370452880859375, 0.03480410575866699, 0.000179290771484375, 0.0034275054931640625, 8.487701416015625e-05, 0.0003120899200439453, 7.462501525878906e-05, 5.555152893066406e-05, 3.4332275390625e-05]",9,1033,draw,0.0400843620300293
1743763690.813413,1743763690.8411224,"[0.00014710426330566406, 0.021273374557495117, 0.00017690658569335938, 0.004915714263916016, 6.341934204101562e-05, 0.0003693103790283203, 7.772445678710938e-05, 5.91278076171875e-05, 3.123283386230469e-05]",9,1068,draw,0.027709484100341797
1743763690.8411381,1743763690.8700938,"[0.00013971328735351562, 0.0239107608795166, 0.00021505355834960938, 0.0023736953735351562, 0.00011730194091796875, 0.0006384849548339844, 0.00011467933654785156, 8.797645568847656e-05, 0.00011467933654785156]",9,946,draw,0.028955698013305664
1743763690.8701181,1743763690.9162965,"[0.0006098747253417969, 0.037123680114746094, 0.0002129077911376953, 0.00649261474609375, 8.678436279296875e-05, 0.0005850791931152344, 9.703636169433594e-05, 7.915496826171875e-05, 4.744529724121094e-05]",9,1068,draw,0.046178340911865234
