start_time,end_time,move_times,moves,states_explored,outcome,game_duration
1743763641.8319156,1743763641.846737,"[0.00018334388732910156, 0.013148784637451172, 0.000102996826171875, 0.0006358623504638672, 4.124641418457031e-05, 0.00022864341735839844, 4.601478576660156e-05, 3.647804260253906e-05, 2.0503997802734375e-05]",9,2472,draw,0.014821290969848633
1743763641.846751,1743763641.8627725,"[9.989738464355469e-05, 0.013043642044067383, 0.00011539459228515625, 0.001934051513671875, 5.412101745605469e-05, 0.00029397010803222656, 5.1975250244140625e-05, 4.100799560546875e-05, 2.2649765014648438e-05]",9,2638,draw,0.0160214900970459
1743763641.8627858,1743763641.8779194,"[0.00010609626770019531, 0.012907028198242188, 9.298324584960938e-05, 0.0012865066528320312, 4.696846008300781e-05, 0.0002002716064453125, 4.553794860839844e-05, 3.886222839355469e-05, 2.2411346435546875e-05]",9,2580,draw,0.01513361930847168
1743763641.8779304,1743763641.8937435,"[9.72747802734375e-05, 0.013197660446166992, 0.00010132789611816406, 0.0016565322875976562, 4.0531158447265625e-05, 0.0002529621124267578, 4.673004150390625e-05, 4.00543212890625e-05, 2.47955322265625e-05]",9,2638,draw,0.015813112258911133
1743763641.8937585,1743763641.9112022,"[9.965896606445312e-05, 0.014858245849609375, 0.00010633468627929688, 0.0014719963073730469, 7.152557373046875e-05, 0.0002503395080566406, 6.961822509765625e-05, 4.482269287109375e-05, 2.2649765014648438e-05]",9,2580,draw,0.01744365692138672
1743763641.9112165,1743763641.926176,"[0.00012302398681640625, 0.012825489044189453, 9.250640869140625e-05, 0.0012192726135253906, 4.5299530029296875e-05, 0.0002071857452392578, 4.76837158203125e-05, 4.1961669921875e-05, 2.288818359375e-05]",9,2580,draw,0.014959573745727539
1743763641.9261863,1743763641.9471781,"[8.96453857421875e-05, 0.01690673828125, 0.0001533031463623047, 0.0026955604553222656, 6.008148193359375e-05, 0.00040078163146972656, 7.343292236328125e-05, 5.745887756347656e-05, 3.337860107421875e-05]",9,2638,draw,0.020991802215576172
1743763641.94742,1743763641.965635,"[0.00017499923706054688, 0.015131235122680664, 0.00012302398681640625, 0.0017242431640625, 6.508827209472656e-05, 0.0002834796905517578, 6.413459777832031e-05, 5.364418029785156e-05, 3.0994415283203125e-05]",9,2580,draw,0.018215179443359375
1743763641.9656498,1743763641.9995167,"[0.00013136863708496094, 0.02718043327331543, 0.00021028518676757812, 0.004498004913330078, 9.465217590332031e-05, 0.0006406307220458984, 0.00010848045349121094, 8.749961853027344e-05, 5.245208740234375e-05]",9,2638,draw,0.03386688232421875
1743763641.999541,1743763642.0356882,"[0.0002579689025878906, 0.031836748123168945, 0.00023102760314941406, 0.0018932819366455078, 9.870529174804688e-05, 0.0006721019744873047, 0.00011706352233886719, 9.131431579589844e-05, 5.3882598876953125e-05]",9,2472,draw,0.036147117614746094
